level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	600	2350	-1	
2	1	1	0	0	0	66	0	534	88	-1	
3	1	1	1	0	0	66	0	534	88	-1	
4	1	1	1	1	0	66	0	534	88	-1	
5	1	1	1	1	1	66	6	286	64	94	CHASE
5	1	1	1	1	2	372	0	70	81	11	er
5	1	1	1	1	3	444	9	61	79	0	ne
5	1	1	1	1	4	507	9	93	73	0	c
2	1	2	0	0	0	37	338	552	68	-1	
3	1	2	1	0	0	37	338	552	68	-1	
4	1	2	1	1	0	39	338	550	24	-1	
5	1	2	1	1	1	39	338	49	23	95	Full
5	1	2	1	1	2	98	338	80	23	96	Serial
5	1	2	1	1	3	189	338	111	23	96	Number
5	1	2	1	1	4	482	339	107	23	96	Current
4	1	2	1	2	0	37	378	551	28	-1	
5	1	2	1	2	1	37	379	65	23	92	Year
5	1	2	1	2	2	147	379	71	23	92	Make
5	1	2	1	2	3	347	379	53	23	96	Moc
5	1	2	1	2	4	465	378	123	28	95	Principal
2	1	3	0	0	0	20	422	580	9	-1	
3	1	3	1	0	0	20	422	580	9	-1	
4	1	3	1	1	0	20	422	580	9	-1	
5	1	3	1	1	1	20	422	580	9	95	 
2	1	4	0	0	0	35	456	365	29	-1	
3	1	4	1	0	0	35	456	365	29	-1	
4	1	4	1	1	0	35	456	365	29	-1	
5	1	4	1	1	1	35	456	125	23	96	Customer
5	1	4	1	1	2	163	456	153	23	95	Collateral
5	1	4	1	1	3	325	456	75	29	96	Type:
2	1	5	0	0	0	20	500	580	9	-1	
3	1	5	1	0	0	20	500	580	9	-1	
4	1	5	1	1	0	20	500	580	9	-1	
5	1	5	1	1	1	20	500	580	9	95	 
2	1	6	0	0	0	38	541	550	314	-1	
3	1	6	1	0	0	38	541	550	314	-1	
4	1	6	1	1	0	39	541	549	27	-1	
5	1	6	1	1	1	39	541	196	23	85	KNAE55LC7J6
5	1	6	1	1	2	246	541	98	23	96	028495
5	1	6	1	1	3	456	541	132	27	96	49,984.00
4	1	6	1	2	0	45	591	355	23	-1	
5	1	6	1	2	1	45	591	66	23	96	2018
5	1	6	1	2	2	172	591	46	22	95	KIA
5	1	6	1	2	3	346	591	54	23	47	STit
4	1	6	1	3	0	38	662	550	27	-1	
5	1	6	1	3	1	38	662	206	23	78	5XYPK4A53KG
5	1	6	1	3	2	254	662	98	23	96	448403
5	1	6	1	3	3	456	662	132	27	94	44,281.00
4	1	6	1	4	0	45	712	355	23	-1	
5	1	6	1	4	1	45	712	66	23	96	2019
5	1	6	1	4	2	172	712	46	22	95	KIA
5	1	6	1	4	3	346	712	54	23	96	SOF
4	1	6	1	5	0	38	782	550	27	-1	
5	1	6	1	5	1	38	782	206	23	90	5XYPK4A57KG
5	1	6	1	5	2	254	782	98	23	92	499435
5	1	6	1	5	3	457	782	131	27	96	39,513.00
4	1	6	1	6	0	45	832	355	23	-1	
5	1	6	1	6	1	45	832	66	23	96	2019
5	1	6	1	6	2	172	832	46	22	95	KIA
5	1	6	1	6	3	346	832	54	23	96	SOF
2	1	7	0	0	0	37	908	550	27	-1	
3	1	7	1	0	0	37	908	550	27	-1	
4	1	7	1	1	0	37	908	550	27	-1	
5	1	7	1	1	1	37	908	86	23	96	Total:
5	1	7	1	1	2	137	908	87	23	93	DEMO
5	1	7	1	1	3	232	908	168	23	28	AUTOMOBII
5	1	7	1	1	4	0	0	600	2350	28	=
5	1	7	1	1	5	441	908	146	27	66	133,778.00
2	1	8	0	0	0	20	952	580	9	-1	
3	1	8	1	0	0	20	952	580	9	-1	
4	1	8	1	1	0	20	952	580	9	-1	
5	1	8	1	1	1	20	952	580	9	95	 
2	1	9	0	0	0	20	977	580	10	-1	
3	1	9	1	0	0	20	977	580	10	-1	
4	1	9	1	1	0	20	977	580	10	-1	
5	1	9	1	1	1	20	977	580	10	95	 
2	1	10	0	0	0	35	1012	365	29	-1	
3	1	10	1	0	0	35	1012	365	29	-1	
4	1	10	1	1	0	35	1012	365	29	-1	
5	1	10	1	1	1	35	1012	125	23	96	Customer
5	1	10	1	1	2	163	1012	153	23	95	Collateral
5	1	10	1	1	3	325	1012	75	29	96	Type:
2	1	11	0	0	0	20	1055	580	9	-1	
3	1	11	1	0	0	20	1055	580	9	-1	
4	1	11	1	1	0	20	1055	580	9	-1	
5	1	11	1	1	1	20	1055	580	9	95	 
2	1	12	0	0	0	38	1097	550	1105	-1	
3	1	12	1	0	0	39	1097	549	193	-1	
4	1	12	1	1	0	39	1097	549	27	-1	
5	1	12	1	1	1	39	1097	195	23	91	KNAS34J62K6
5	1	12	1	1	2	245	1097	96	23	96	009872
